Time point,Channel,Position,Treatment,Gammarus ,Chironomidae,Baetidae,Ephemerellidae,Heptageniidae,Leptophlebiidae,Caenidae,Hydropsychidae,Rhyacophilidae,Limnephilidae,Philopotamidae,Polycentropodidae,Simuliidae,Tipulidae,Limoniidae,Dixidae,Culicidae,Ceratopogonidae,Psychodidae,Empididae,Ephydridae,Pediciidae,Elmis,Limnius ,Hydraenidae ,Chrysomelidae,Oligochaeta
week -1,Channel1,upstream,crayfish + ALAN,129,1618,9,11,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,35
week -1,Channel2,upstream,crayfish,462,1512,29,12,1,0,0,0,0,0,0,0,6,3,0,0,0,0,11,1,0,1,0,0,0,0,68
week -1,Channel3,upstream,ALAN,158,1190,46,16,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,240
week -1,Channel4,upstream,control,76,2219,10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,1,0,0,0,72
week -1,Channel5,upstream,crayfish,61,973,11,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel6,upstream,ALAN,238,2565,25,4,0,0,0,0,0,0,0,0,2,0,4,0,0,15,0,0,0,0,0,1,0,0,75
week -1,Channel7,upstream,control,264,1893,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel8,upstream,crayfish + ALAN,166,276,49,15,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel9,upstream,ALAN,108,868,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel10,upstream,control,170,1291,20,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
week -1,Channel11,upstream,crayfish + ALAN,276,1649,21,10,0,0,0,0,0,0,0,0,2,0,4,0,0,5,0,0,0,0,0,0,0,0,154
week -1,Channel12,upstream,crayfish,36,1058,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel13,upstream,control,243,1482,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel14,upstream,crayfish + ALAN,147,2775,56,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,95
week -1,Channel15,upstream,crayfish,268,1033,119,3,2,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,3,0,0,0,0,72
week -1,Channel16,upstream,ALAN,230,3038,29,10,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,197
week -1,Channel1,downstream,crayfish + ALAN,3,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
week -1,Channel2,downstream,crayfish,6,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
week -1,Channel3,downstream,ALAN,0,547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel4,downstream,control,11,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
week -1,Channel5,downstream,crayfish,6,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel6,downstream,ALAN,1,563,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88
week -1,Channel7,downstream,control,24,655,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel8,downstream,crayfish + ALAN,7,194,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,83
week -1,Channel9,downstream,ALAN,9,419,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,0,0,0,0,79
week -1,Channel10,downstream,control,15,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel11,downstream,crayfish + ALAN,8,565,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week -1,Channel12,downstream,crayfish,4,328,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0
week -1,Channel13,downstream,control,2,802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4,0,0,0,0,0,1,0,140
week -1,Channel14,downstream,crayfish + ALAN,12,489,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,1,111
week -1,Channel15,downstream,crayfish,2,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74
week -1,Channel16,downstream,ALAN,4,347,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel1,upstream,crayfish + ALAN,138,603,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel2,upstream,crayfish,246,724,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,49
week_6,Channel3,upstream,ALAN,51,651,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
week_6,Channel4,upstream,control,107,1581,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel5,upstream,crayfish,173,1225,203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel6,upstream,ALAN,41,143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
week_6,Channel7,upstream,control,220,738,13,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
